date,company name,role,location,event
2024-05-14,HIREMEFAST LLC,Junor React Developer,Remote,bookmarked
2024-05-14,Brooksource,Junior Software Engineer,United States,bookmarked
2024-05-14,"WorldTech IT, LLC",Junior Software Engineer,United States,bookmarked
2024-05-14,Onestop Software,Frontend Developer,United States,bookmarked
2024-05-14,Acme Corp,Operations Manager - Sample Job,remote,applying
2024-05-14,Acme Corp,Operations Manager - Sample Job,remote,applied
2024-05-14,Acme Corp,Marketing Manager - Sample Job,"Anywhere, USA",applied
2024-05-14,Acme Corp,Marketing Manager - Sample Job,"Anywhere, USA",bookmarked
2024-05-14,minware,Junior Front End Engineer,"Los Angeles, CA",bookmarked
2024-05-16,HIREMEFAST LLC,Junor React Developer,Remote,applied
2024-05-16,Brooksource,Junior Software Engineer,United States,applied
2024-05-16,"WorldTech IT, LLC",Junior Software Engineer,United States,applied
2024-05-16,Onestop Software,Frontend Developer,United States,applied
2024-05-16,minware,Junior Front End Engineer,"Los Angeles, CA",applied
2024-05-16,FAANG,Junior Software Engineer,"Los Angeles, CA",bookmarked
2024-05-16,HIRECLOUT,Frontend Software Engineer,Hybrid Irvine,bookmarked
2024-05-16,Team Remotely INC,Junior Front End Engineer,Remote,bookmarked
2024-05-16,Team Remotely INC,Junior Front End Engineer,Remote,applied
2024-05-16,HIRECLOUT,Frontend Software Engineer,Hybrid Irvine,applied
2024-05-16,FAANG,Junior Software Engineer,"Los Angeles, CA",applied
2024-05-16,Team Remotely INC,Junior Web Developer,remote,bookmarked
2024-05-17,Shopify,Software Engineer,remote,bookmarked
